Molecule	$\nu$	$E_{B}$ (K)	 $T_{peak}$ (K)	m (amu)	Source
C2H4	9.10E+15	2602.00	45	28.05	Ligterink et al. 2023
C2H6	4.80E+16	2773.00	46	30.07	Ligterink et al. 2023
C3H8	6.50E+17	3721.00	59	44.1	Ligterink et al. 2023
CH2CHCH3	3.90E+17	3709.00	60	42.08	Ligterink et al. 2023
CH3PH2	4.40E+17	4662.00	74	34.08	Ligterink et al. 2023
CH3I	9.30E+17	4758.00	75	141.94	Ligterink et al. 2023
CH3CCH	1.90E+17	4624.00	75	41.05	Ligterink et al. 2023
C4H10	5.70E+18	4946.00	76	58.12	Ligterink et al. 2023
CH3CHO	9.70E+17	4882.00	77	44.05	Ligterink et al. 2023
H2SO2	2.60E+18	5035.00	78	66.06	Ligterink et al. 2023
H2CCO	1.70E+17	4895.00	79	42.03	Ligterink et al. 2023
N2H2	5.90E+16	4891.00	81	32.03	Ligterink et al. 2023
c-C3H4O	2.90E+18	5319.00	82	56.06	Ligterink et al. 2023
HNCO	2.90E+17	5154.00	83	43.03	Ligterink et al. 2023
CH2NH	5.30E+16	5106.00	84	30.04	Ligterink et al. 2023
CH3OOCH3	4.20E+18	5560.00	86	62.07	Ligterink et al. 2023
CH3CHCH2O	4.40E+18	5715.00	88	58.08	Ligterink et al. 2023
CH3CH2OCHO	1.60E+19	5833.00	88	60.05	Ligterink et al. 2023
CH3OCHO	4.70E+18	5715.00	88	60.05	Ligterink et al. 2023
CH3NC	2.90E+17	5657.00	91	43.06	Ligterink et al. 2023
NO2	3.70E+17	5676.00	91	46.01	Ligterink et al. 2023
HCOPH2	3.70E+18	6006.00	92	34.07	Ligterink et al. 2023
CH3CH2NH2	2.30E+18	6033.00	94	45.08	Ligterink et al. 2023
P2H4	2.20E+18	6183.00	96	66	Ligterink et al. 2023
CH3NH2	4.90E+17	6025.00	96	31.04	Ligterink et al. 2023
CH3CH2CHO	8.80E+18	6359.00	97	58.08	Ligterink et al. 2023
HCOSH	3.80E+18	6301.00	97	62.07	Ligterink et al. 2023
CH3COCH3	1.00E+19	6459.00	98	58.08	Ligterink et al. 2023
CH3CHNH	1.90E+18	6327.00	98	43.06	Ligterink et al. 2023
CH2CHNH2	1.90E+18	6326.00	98	44.06	Ligterink et al. 2023
H3SiC(H)CO	7.90E+18	6439.00	98	60.12	Ligterink et al. 2023
C6H14	8.50E+19	6874.00	101	86.17	Ligterink et al. 2023
CH3P2H3	1.40E+19	6675.00	101	80.09	Ligterink et al. 2023
CH3SH	1.80E+18	6522.00	101	34.08	Ligterink et al. 2023
CH3OCH3	2.00E+18	6503.00	101	32.04	Ligterink et al. 2023
H2S2	2.80E+18	6560.00	101	66.14	Ligterink et al. 2023
CH3NCO	6.80E+18	6842.00	104	43.06	Ligterink et al. 2023
c-C6H12	6.30E+19	7187.00	106	84.16	Ligterink et al. 2023
HC2CHO	4.30E+18	6957.00	107	56.06	Ligterink et al. 2023
CH2CHOH	2.10E+18	6957.00	108	46.04	Ligterink et al. 2023
N2H4	4.40E+17	6779.00	108	32.03	Ligterink et al. 2023
CH2CHCHO	8.10E+18	7162.00	109	56.06	Ligterink et al. 2023
(CHO)2	6.20E+18	7163.00	109	60.05	Ligterink et al. 2023
(CH3)2C6H4	1.40E+20	7457.00	109	106.16	Ligterink et al. 2023
C4H4S	5.00E+19	7492.00	111	76.14	Ligterink et al. 2023
